time,User,Tweets,userid,service_accounts
2022-12-16 14:01:02,TLRailUK,📢 national industrial action taking place today amp december late start service december our advice travel absolutely necessary strike days ℹ️ more info available 👇 httpstcohtmhatmkjd httpstcoqlnfmtoxj,2589703207,1.0
2022-12-16 13:47:48,johndredge,tlrailuk many thanks getting back me,18312817,0.0
2022-12-16 13:47:25,TLRailUK,johndredge hi there limited service operating station tomorrow emily,2589703207,1.0
2022-12-16 13:45:10,johndredge,tlrailuk is west hampstead thameslink running tomorrow,18312817,0.0
2022-12-16 13:25:43,TLRailUK,jpives hi james the train  minutes late due broken rail balcombe area terminating east croydon prevent knock delay next service josh,2589703207,1.0
2022-12-16 13:22:53,jp5ives,tlrailuk why train terminating east croydon httpstcouyrhqsh,188672439,0.0
2022-12-16 12:59:16,TLRailUK,✅ disruption letchworth garden city royston cleared 🕒 if delayed minutes claim delay repay more details 👇 httpstcobeuotigxa,2589703207,1.0
2022-12-16 12:42:52,TLRailUK,gemgemgem hi gem could pop dm link screenshot email received once i see this ill able help further josh httpstcoytqrfkodd,2589703207,1.0
2022-12-16 12:41:33,GemGemGem861,tlrailuk emailed week ago say suitcase but nobody replying me where i collect it,2903598857,0.0
2022-12-16 12:24:50,CreativeHitchin,gnrailuk goviagn tlrailuk gnrailuk every single day week major problems cambridge peterborough lines not even taking account strikes total line shutdowns every day please patrick verwer answer disastrous service,1598795137559273476,0.0
2022-12-16 12:07:56,TraceyHanley2,rt tlrailuk 🚉 services christmas eve finish much earlier usual could early check ahead amp recheck befor…,846895901847138304,0.0
2022-12-16 12:05:24,EllisPLocal,rt crawleyobby great news commuters threebridgesstation crawleybc networkrail tlrailuk wsccnews crawley httpstcolewjlq…,1452964360729546754,0.0
